Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
	colontriangularmod	uni02D0	02D0		226	*															
grave	grave	grave	0060		227	*															
overscore	macron	macron	00AF		228	*															
dieresis	dieresis	dieresis	00A8		229	*															
acute	acute	acute	00B4		230	*															
cedilla	cedilla	cedilla	00B8		231	*															
circumflex	circumflex	circumflex	02C6		232	*															
caron	caron	caron	02C7		233	*															
modMacron	firsttonechinese	uni02C9	02C9		234	*															
	breve	breve	02D8		235	*															
	dotaccent	dotaccent	02D9		236	*															
ring	ring	ring	02DA		237	*															
	ogonek	ogonek	02DB		238	*															
tilde	tilde	tilde	02DC		239	*															
	hungarumlaut	hungarumlaut	02DD		240	*															
	graphemejoinercomb	uni034F	034F	NSM	241	*														invs	
	pi	pi	03C0		242	*															
absHamza	hamza-ar	uni0621	0621	AL	243	*															
absHighHamza	highhamza-ar	uni0674	0674	AL	244	SHLM															
absAlef	alef-ar	uni0627	0627	AL	245	*															
absAlefFin	alef-ar.fina	uni0627.fina		AL	246	*															
absAlefFin.postLamIni	alef-ar.postLamIni.fina	uni0627.postLamIni.fina		AL	247	*															
absAlefFin.postLamMed	alef-ar.postLamMed.fina	uni0627.postLamMed.fina		AL	248	*															
absAlefHamzaAbove	alefHamzaabove-ar	uni0623	0623	AL	249	SHLM	absAlef	alef-ar	_hamza												
absAlefHamzaAboveFin	alefHamzaabove-ar.fina	uni0623.fina		AL	250	SHLM	absAlefFin	alef-ar.fina	_hamza												
absAlefHamzaAboveFin.postLamIni	alefHamzaabove-ar.postLamIni.fina	uni0623.postLamIni.fina		AL	251	SHLM	absAlefFin.postLamIni	alef-ar.postLamIni.fina	_hamza												
absAlefHamzaAboveFin.postLamMed	alefHamzaabove-ar.postLamMed.fina	uni0623.postLamMed.fina		AL	252	SHLM	absAlefFin.postLamMed	alef-ar.postLamMed.fina	_hamza												
absAlefHamzaAbove.warsh	alefHamzaabove-ar.warsh	uni0623.warsh		AL	253	H	absAlef	alef-ar	_hamza								in Warsh these touch			"cv02=1,2"	
absAlefHamzaAboveFin.warsh	alefHamzaabove-ar.warsh.fina	uni0623.warsh.fina		AL	254	H	absAlefFin	alef-ar.fina	_hamza								in Warsh these touch			"cv02=1,2"	
absAlefHamzaAboveFin.postLamIni.warsh	alefHamzaabove-ar.postLamIni.warsh.fina	uni0623.postLamIni.warsh.fina		AL	255	-	absAlefFin.postLamIni	alef-ar.postLamIni.fina	_hamza								can't find examples			"cv02=1,2"	
absAlefHamzaAboveFin.postLamMed.warsh	alefHamzaabove-ar.postLamMed.warsh.fina	uni0623.postLamMed.warsh.fina		AL	256	-	absAlefFin.postLamMed	alef-ar.postLamMed.fina	_hamza								can't find examples			"cv02=1,2"	
absAlefHamzaBelow	alefHamzabelow-ar	uni0625	0625	AL	257	SHLM	absAlef	alef-ar		_hamza											
absAlefHamzaBelowFin	alefHamzabelow-ar.fina	uni0625.fina		AL	258	SHLM	absAlefFin	alef-ar.fina		_hamza											
absAlefHamzaBelowFin.postLamIni	alefHamzabelow-ar.postLamIni.fina	uni0625.postLamIni.fina		AL	259	SHLM	absAlefFin.postLamIni	alef-ar.postLamIni.fina		_hamza											
absAlefHamzaBelowFin.postLamMed	alefHamzabelow-ar.postLamMed.fina	uni0625.postLamMed.fina		AL	260	SHLM	absAlefFin.postLamMed	alef-ar.postLamMed.fina		_hamza											
absAlefHamzaBelow.warsh	alefHamzabelow-ar.warsh	uni0625.warsh		AL	261	H	absAlef	alef-ar		_hamza							in Warsh these touch			"cv02=1,2"	
absAlefHamzaBelowFin.warsh	alefHamzabelow-ar.warsh.fina	uni0625.warsh.fina		AL	262	H	absAlefFin	alef-ar.fina		_hamza							in Warsh these touch			"cv02=1,2"	
absAlefWavyHamzaAbove	alefWavyhamzaabove-ar	uni0672	0672	AL	263	SHL	absAlef	alef-ar	_wavyHamza												
absAlefWavyHamzaAboveFin	alefWavyhamzaabove-ar.fina	uni0672.fina		AL	264	SHL	absAlefFin	alef-ar.fina	_wavyHamza												
